citação,contexto
"Verschaffel, 2020 – Word problems in mathematics education: A survey","In educational assessments, a word problem is a mathematical or logical problem presented as a narrative rather than a direct mathematical equation <<(Verschaffel et al., 2020)>>.Math word problems require test-takers to identify explicit and implicit quantities in the text, model their relationships through mathematical operations, and apply appropriate mathematical techniques to solve them (Koncel-Kedziorski et al., 2016).These characteristics make word problems a compelling way to evaluate the reasoning and problem-solving capabilities of AI models, attracting the NLP community for some decades (Roy et al., 2015;Cheng et al., 2025)."
"Koncel-Kedziorski, 2016 – Mawps: A math word problem repository","In educational assessments, a word problem is a mathematical or logical problem presented as a narrative rather than a direct mathematical equation (Verschaffel et al., 2020).Math word problems require test-takers to identify explicit and implicit quantities in the text, model their relationships through mathematical operations, and apply appropriate mathematical techniques to solve them <<(Koncel-Kedziorski et al., 2016)>>.These characteristics make word problems a compelling way to evaluate the reasoning and problem-solving capabilities of AI models, attracting the NLP community for some decades (Roy et al., 2015;Cheng et al., 2025)."
"Roy, 2015 – Reasoning about quantities in natural language","In educational assessments, a word problem is a mathematical or logical problem presented as a narrative rather than a direct mathematical equation (Verschaffel et al., 2020).Math word problems require test-takers to identify explicit and implicit quantities in the text, model their relationships through mathematical operations, and apply appropriate mathematical techniques to solve them (Koncel-Kedziorski et al., 2016).These characteristics make word problems a compelling way to evaluate the reasoning and problem-solving capabilities of AI models, attracting the NLP community for some decades <<(Roy et al., 2015;>>Cheng et al., 2025)."
"Cheng, 2025 – Can llms reason abstractly over math word problems without cot? disentangling abstract formulation from arithmetic computation","In educational assessments, a word problem is a mathematical or logical problem presented as a narrative rather than a direct mathematical equation (Verschaffel et al., 2020).Math word problems require test-takers to identify explicit and implicit quantities in the text, model their relationships through mathematical operations, and apply appropriate mathematical techniques to solve them (Koncel-Kedziorski et al., 2016).These characteristics make word problems a compelling way to evaluate the reasoning and problem-solving capabilities of AI models, attracting the NLP community for some decades (Roy et al., 2015;<<Cheng et al., 2025)>>."
"Cobbe, 2021 – Training verifiers to solve math word problems","With the rise in popularity of large language models, benchmarks such as GSM8K <<(Cobbe et al., 2021)>> and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Hendrycks, 2021 – Measuring mathematical problem solving with the math dataset","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH <<(Hendrycks et al., 2021)>> have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"(Burnell et al., 2023b)","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis <<(Burnell et al., 2023b)>>.Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Hosseini, 2024 – Not all llm reasoners are created equal","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information <<(Hosseini et al., 2024;>>Mirzadeh et al., 2024), variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Mirzadeh, 2024 – Gsm-symbolic: Understanding the limitations of mathematical reasoning in large language models","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;<<Mirzadeh et al., 2024)>>, variations in numerical representations (Shen et al., 2023), search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
"Shen, 2023 – Positional description matters for transformers arithmetic","With the rise in popularity of large language models, benchmarks such as GSM8K (Cobbe et al., 2021) and MATH (Hendrycks et al., 2021) have become popular choices for assessing model performance, as they provide structured problem sets with varying levels of complexity.To elucidate reasons that make language models fail, there is a growing trend in AI evaluation that designs benchmarks that systematically vary key features of problem formulations to enable a more nuanced analysis (Burnell et al., 2023b).Controlled benchmarks have explored different aspects, including the inclusion of distracting contextual information (Hosseini et al., 2024;Mirzadeh et al., 2024), variations in numerical representations <<(Shen et al., 2023)>>, search space size (Lin et al., 2025), com-positional tasks (Dziri et al., 2024) and asking the LLM whether a given solution is correct (Zhang et al., 2024a).A critical aspect of those workswhich we build upon -is that accuracy as an aggregate metric is not enough to understand reasoning and hence strategies that evaluate step-specific errors are crucial (Gaur and Saunshi, 2023;Zheng et al., 2024;Yan et al., 2024;Xia et al., 2024)."
