citação,contexto
"Meurer, 2017 – Sympy: symbolic computing in python","Our work introduces a new controlled dimension to LLM evaluation: comparing model performance on textual vs. symbolic representations of math word problems.Recent work has used LLMs to generate word problems (Xie et al., 2024;Akyürek et al., 2023;Christ et al., 2024); in this work we are interested in systematically converting existing word problems into their equivalent mathematical equations using Python's symbolic solver, SymPy <<(Meurer et al., 2017)>>.This structured transformation allows for a controlled comparison of language model performance across different representations of the same underlying problem.While previous studies have used symbolic solvers to assist language models in solving word problems (He-Yueya et al., 2023;Kao et al., 2024), to the best of our knowledge we are the first to leverage symbolic solvers to construct a controlled benchmark that enables direct comparison between textual and symbolic problem representations in LLM evaluation."
"He-Yueya, 2023 – Solving math word problems by combining language models with symbolic solvers","Our work introduces a new controlled dimension to LLM evaluation: comparing model performance on textual vs. symbolic representations of math word problems.Recent work has used LLMs to generate word problems (Xie et al., 2024;Akyürek et al., 2023;Christ et al., 2024); in this work we are interested in systematically converting existing word problems into their equivalent mathematical equations using Python's symbolic solver, SymPy (Meurer et al., 2017).This structured transformation allows for a controlled comparison of language model performance across different representations of the same underlying problem.While previous studies have used symbolic solvers to assist language models in solving word problems <<(He-Yueya et al., 2023;>>Kao et al., 2024), to the best of our knowledge we are the first to leverage symbolic solvers to construct a controlled benchmark that enables direct comparison between textual and symbolic problem representations in LLM evaluation."
"Kao, 2024 – Solving for x and beyond: Can large language models solve complex math problems with more-than-two unknowns?","Our work introduces a new controlled dimension to LLM evaluation: comparing model performance on textual vs. symbolic representations of math word problems.Recent work has used LLMs to generate word problems (Xie et al., 2024;Akyürek et al., 2023;Christ et al., 2024); in this work we are interested in systematically converting existing word problems into their equivalent mathematical equations using Python's symbolic solver, SymPy (Meurer et al., 2017).This structured transformation allows for a controlled comparison of language model performance across different representations of the same underlying problem.While previous studies have used symbolic solvers to assist language models in solving word problems (He-Yueya et al., 2023;<<Kao et al., 2024)>>, to the best of our knowledge we are the first to leverage symbolic solvers to construct a controlled benchmark that enables direct comparison between textual and symbolic problem representations in LLM evaluation."
"Daroczy, 2015 – Word problems: A review of linguistic and numerical factors contributing to their difficulty","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems <<(Daroczy et al., 2015;>>Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated <<(Daroczy et al., 2015;>>Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Strohmaier, 2022 – Different complex word problems require different combinations of cognitive skills","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;<<Strohmaier et al., 2022)>>.The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Daroczy, 2015 – Word problems: A review of linguistic and numerical factors contributing to their difficulty","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems <<(Daroczy et al., 2015;>>Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated <<(Daroczy et al., 2015;>>Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Benjamin, 2023 – Cognitive processes, linguistic factors, and arithmetic word problem success: a review of behavioral studies","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;<<Jaffe and Bolger, 2023)>>, and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Vessonen, 2024 – Task characteristics associated with mathematical word problem-solving performance among elementary school-aged children: a systematic review and metaanalysis","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance <<(Vessonen et al., 2024;>>Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Pongsakdi, 2020 – What makes mathematical word problem solving challenging? exploring the roles of word problem characteristics, text comprehension, and arithmetic skills","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;<<Pongsakdi et al., 2020)>>.Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Kv, 2024 – What makes math word problems challenging for LLMs?","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens <<(Srivatsa and Kochmar, 2024)>>.In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Finch, 2013 – Exploratory Factor Analysis","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis <<(Finch, 2013;>>Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Lorenzo, 2006 – Factor: A computer program to fit the exploratory factor analysis model","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;<<Lorenzo-Seva and Ferrando, 2006)>>, a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs (Burnell et al., 2023a)-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"(Burnell et al., 2023a)","Our work is also inspired by studies on the behavior and skills that humans need to solve math word problems (Daroczy et al., 2015;Strohmaier et al., 2022).The reasons that make word problems challenging for humans have been thoroughly investigated (Daroczy et al., 2015;Jaffe and Bolger, 2023), and it is accepted in the educational community that linguistic and mathematical factors are distinct, unique skills that contribute to student performance (Vessonen et al., 2024;Pongsakdi et al., 2020).Recent work has examined word problem characteristics impacting LLMs and found that they struggle more with longer questions and rare numerical tokens (Srivatsa and Kochmar, 2024).In our work, we deepen the analysis on how large language models solve word problems by applying exploratory factor analysis (Finch, 2013;Lorenzo-Seva and Ferrando, 2006), a dimensionality reduction technique widely used in the social sciences to uncover latent patterns in complex datasets.While at least one study has employed factor analysis to examine LLM response patterns-finding that reasoning, comprehension, and language modeling are distinct high-level capabilities in LLMs <<(Burnell et al., 2023a)>>-our study extends this approach by leveraging a fine-grained, question-level annotation of each problem (whether it is in the math or word form).This approach allows us to quantify latent cognitive dimensions that differentiate model performance across textual and symbolic formats, providing deeper insight into how LLMs engage with different types of problem representations."
"Cobbe, 2021 – Training verifiers to solve math word problems","We have built two benchmarks following the same methodology but with a different source of word problems.The first source is GSM8K <<(Cobbe et al., 2021)>> foot_0 , which contains grade school-level problems and has been used by many previous work evaluating language models (Liu et al., 2023).GSM8K is a source of prototype word problems, in which mathematical word problems follow a simple, linear syntax and are relatively short (Strohmaier et al., 2022;Mirzadeh et al., 2024)."
"Liu, 2023 – Tinygsm: achieving> 80% on gsm8k with small language models","We have built two benchmarks following the same methodology but with a different source of word problems.The first source is GSM8K (Cobbe et al., 2021) foot_0 , which contains grade school-level problems and has been used by many previous work evaluating language models <<(Liu et al., 2023)>>.GSM8K is a source of prototype word problems, in which mathematical word problems follow a simple, linear syntax and are relatively short (Strohmaier et al., 2022;Mirzadeh et al., 2024)."
"Strohmaier, 2022 – Different complex word problems require different combinations of cognitive skills","We have built two benchmarks following the same methodology but with a different source of word problems.The first source is GSM8K (Cobbe et al., 2021) foot_0 , which contains grade school-level problems and has been used by many previous work evaluating language models (Liu et al., 2023).GSM8K is a source of prototype word problems, in which mathematical word problems follow a simple, linear syntax and are relatively short <<(Strohmaier et al., 2022;>>Mirzadeh et al., 2024)."
"Mirzadeh, 2024 – Gsm-symbolic: Understanding the limitations of mathematical reasoning in large language models","We have built two benchmarks following the same methodology but with a different source of word problems.The first source is GSM8K (Cobbe et al., 2021) foot_0 , which contains grade school-level problems and has been used by many previous work evaluating language models (Liu et al., 2023).GSM8K is a source of prototype word problems, in which mathematical word problems follow a simple, linear syntax and are relatively short (Strohmaier et al., 2022;<<Mirzadeh et al., 2024)>>."
"Robert, 2020 – When reading meets mathematics: Using eye movements to analyze complex word problem solving","To explore questions that involve more complex interactions between text interpretation and mathematical reasoning, we used the Math section of the Brazilian Exame Nacional do Ensino Médio (ENEM) as a source of complex word problems, characterized by presenting potentially redundant information in a syntax that does not merely mirror the mathematical task <<(Strohmaier, 2020)>>.ENEM is the world's second-largest university entrance exam after China's Gaokao, taken annually by millions of Brazilian students (Silveira and Mauá, 2018), and Mathematics is consistently the most challenging section for both human test-takers and language models, with scores around 30% (Locatelli et al., 2024).According to the official documentation (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira, 2025), the exam assesses geometric reasoning, magnitudes and measurement interpretation, data analysis from graphs and tables, and trend prediction through extrapolation and interpolation.A typical ENEM word problem is shown below:"
"Sartori Locatelli, 2024 – Examining the behavior of llm architectures within the framework of standardized national exams in brazil","To explore questions that involve more complex interactions between text interpretation and mathematical reasoning, we used the Math section of the Brazilian Exame Nacional do Ensino Médio (ENEM) as a source of complex word problems, characterized by presenting potentially redundant information in a syntax that does not merely mirror the mathematical task (Strohmaier, 2020).ENEM is the world's second-largest university entrance exam after China's Gaokao, taken annually by millions of Brazilian students (Silveira and Mauá, 2018), and Mathematics is consistently the most challenging section for both human test-takers and language models, with scores around 30% <<(Locatelli et al., 2024)>>.According to the official documentation (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira, 2025), the exam assesses geometric reasoning, magnitudes and measurement interpretation, data analysis from graphs and tables, and trend prediction through extrapolation and interpolation.A typical ENEM word problem is shown below:"
"Daroczy, 2015 – Word problems: A review of linguistic and numerical factors contributing to their difficulty","Starting from the observation that word problems require building a mathematical equation as a well-recognized subproblem <<(Daroczy et al., 2015)>>, we leverage the symbolic solver SymPy 2 (Meurer et al., 2017) to generate mathematical unambiguous representations of word problems.This is how the subway ticket problem is modeled and solved using SymPy: We then submit a new prompt to GPT-4 instructing it to convert the SymPy code into a question in the format ""Solve... <equation>.,""where all known variables are replaced with their actual values, and only the unknowns are retained.For the subway ticket ENEM word problem, the equivalent math formulation generated from the SymPy code above is Solve 9*r from 18b + 9r = 32.40 and br = r + 0.05.A key advantage of using SymPy is its enforcement of a structured and precise format for mathematical expressions, eliminating unnecessary linguistic details and focusing solely on the mathematical formulation."
"Meurer, 2017 – Sympy: symbolic computing in python","Starting from the observation that word problems require building a mathematical equation as a well-recognized subproblem (Daroczy et al., 2015), we leverage the symbolic solver SymPy 2 <<(Meurer et al., 2017)>> to generate mathematical unambiguous representations of word problems.This is how the subway ticket problem is modeled and solved using SymPy: We then submit a new prompt to GPT-4 instructing it to convert the SymPy code into a question in the format ""Solve... <equation>.,""where all known variables are replaced with their actual values, and only the unknowns are retained.For the subway ticket ENEM word problem, the equivalent math formulation generated from the SymPy code above is Solve 9*r from 18b + 9r = 32.40 and br = r + 0.05.A key advantage of using SymPy is its enforcement of a structured and precise format for mathematical expressions, eliminating unnecessary linguistic details and focusing solely on the mathematical formulation."
"(Zhang et al., 2024b)","There is ongoing debate regarding the efficacy of multiple-choice versus open-ended questions for assessing reasoning abilities <<(Zhang et al., 2024b)>>."
"Hosseini, 2024 – Not all llm reasoners are created equal","We evaluate 35 models, focusing on small language small language models to small-scale large language models (1.5B, 3B, 7B, 14B), across 9 families (Gemini, Qwen, Falcon, Phi, Mistral, Gemma, Llama, NuminaMath, distilled versions of DeepSeek-R1) and training strategies (pre-trained vs. fine-tuned).We included multiple versions of the same family and also math-specialized models (e.g., Qwen2.5-Math-7B) to track model evolution over time.The models were tested with 0-shot and 2-shot settings, using chain-of-thought prompt styles following prior work <<(Hosseini et al., 2024)>>.The prompt details and full list of models is provided in Appendixes A and C."
"Gustafsson, 2010 – Unidimensionality and interpretability of psychological instruments","In pyschometrics, determining the dimensionality of an instrument is an important step towards assessing its validity and reliability.It informs whether the instrument measures one or multiple constructs, how its scores should be interpreted, and which models such as Item Response Theory apply <<(Gustafsson and Åberg-Bengtsson, 2010)>>."
"Lee, 1951 – Coefficient alpha and the internal structure of tests","Unidimensional instruments (i.e., those measuring a single construct) tend to have high internal consistency because all items are strongly correlated with the same underlying factor.A popular metric is Cronbach's Alpha (α) <<(Cronbach, 1951)>>, which measures the internal consistency of a set of items by calculating the average correlation between all pairs of items and considering how each item contributes to the overall variance of the test scores.For the ENEM and GSM8K we found α of 0.972 and 0.978, respectively, indicating very high internal consistency and minimal random error.The high consistency we found supports that the size of our benchmarks is enough for our study and is consistent with previous work that found that large benchmarks such as GSM8K, albeit containing thousands of items, can be reduced to a few dozen itens and keep a good degree of discrimination among LLMs (Polo et al., 2024)."
"Maia Polo, 2024 – tinybenchmarks: evaluating llms with fewer examples","Unidimensional instruments (i.e., those measuring a single construct) tend to have high internal consistency because all items are strongly correlated with the same underlying factor.A popular metric is Cronbach's Alpha (α) (Cronbach, 1951), which measures the internal consistency of a set of items by calculating the average correlation between all pairs of items and considering how each item contributes to the overall variance of the test scores.For the ENEM and GSM8K we found α of 0.972 and 0.978, respectively, indicating very high internal consistency and minimal random error.The high consistency we found supports that the size of our benchmarks is enough for our study and is consistent with previous work that found that large benchmarks such as GSM8K, albeit containing thousands of items, can be reduced to a few dozen itens and keep a good degree of discrimination among LLMs <<(Polo et al., 2024)>>."
"Keith, 2018 – The use of cronbach's alpha when developing and reporting research instruments in science education","However, an instrument exhibiting high internal consistency is not necessarily unidimensional: multidimensional scales can still produce high α values if its items form strongly correlated subcomponents <<(Taber, 2018;>>Tavakol and Dennick, 2011).This observation, alongside the findings in Section 4, motivates conducting exploratory factor analysis -a well-established method for testing the dimensionality of an instrument (Tate, 2003).The goal is to identify distinct skills or dimensions that may underlie the observed variables.We employed the software Factor (Ferrando and Lorenzo-Seva, 2017), selecting unweighted least squares as the estimation method and using promax rotation.To determine the optimal number of factors that represent the data, we used parallel analysis, which compares the eigenvalues derived from the actual data with those from random datasets generated under equivalent conditions.Factors with eigenvalues exceeding those of the random data are considered significant, suggesting they account for meaningful variance (Timmerman and Lorenzo-Seva, 2011)."
"Tavakol, 2011 – Making sense of cronbach's alpha","However, an instrument exhibiting high internal consistency is not necessarily unidimensional: multidimensional scales can still produce high α values if its items form strongly correlated subcomponents (Taber, 2018;<<Tavakol and Dennick, 2011)>>.This observation, alongside the findings in Section 4, motivates conducting exploratory factor analysis -a well-established method for testing the dimensionality of an instrument (Tate, 2003).The goal is to identify distinct skills or dimensions that may underlie the observed variables.We employed the software Factor (Ferrando and Lorenzo-Seva, 2017), selecting unweighted least squares as the estimation method and using promax rotation.To determine the optimal number of factors that represent the data, we used parallel analysis, which compares the eigenvalues derived from the actual data with those from random datasets generated under equivalent conditions.Factors with eigenvalues exceeding those of the random data are considered significant, suggesting they account for meaningful variance (Timmerman and Lorenzo-Seva, 2011)."
"Tate, 2003 – A comparison of selected empirical methods for assessing the structure of responses to test items","However, an instrument exhibiting high internal consistency is not necessarily unidimensional: multidimensional scales can still produce high α values if its items form strongly correlated subcomponents (Taber, 2018;Tavakol and Dennick, 2011).This observation, alongside the findings in Section 4, motivates conducting exploratory factor analysis -a well-established method for testing the dimensionality of an instrument <<(Tate, 2003)>>.The goal is to identify distinct skills or dimensions that may underlie the observed variables.We employed the software Factor (Ferrando and Lorenzo-Seva, 2017), selecting unweighted least squares as the estimation method and using promax rotation.To determine the optimal number of factors that represent the data, we used parallel analysis, which compares the eigenvalues derived from the actual data with those from random datasets generated under equivalent conditions.Factors with eigenvalues exceeding those of the random data are considered significant, suggesting they account for meaningful variance (Timmerman and Lorenzo-Seva, 2011)."
"Pere, 2017 – Program factor at 10: Origins, development and future directions","However, an instrument exhibiting high internal consistency is not necessarily unidimensional: multidimensional scales can still produce high α values if its items form strongly correlated subcomponents (Taber, 2018;Tavakol and Dennick, 2011).This observation, alongside the findings in Section 4, motivates conducting exploratory factor analysis -a well-established method for testing the dimensionality of an instrument (Tate, 2003).The goal is to identify distinct skills or dimensions that may underlie the observed variables.We employed the software Factor (Ferrando and <<Lorenzo-Seva, 2017)>>, selecting unweighted least squares as the estimation method and using promax rotation.To determine the optimal number of factors that represent the data, we used parallel analysis, which compares the eigenvalues derived from the actual data with those from random datasets generated under equivalent conditions.Factors with eigenvalues exceeding those of the random data are considered significant, suggesting they account for meaningful variance (Timmerman and Lorenzo-Seva, 2011)."
"Marieke, 2011 – Dimensionality assessment of ordered polytomous items with parallel analysis","However, an instrument exhibiting high internal consistency is not necessarily unidimensional: multidimensional scales can still produce high α values if its items form strongly correlated subcomponents (Taber, 2018;Tavakol and Dennick, 2011).This observation, alongside the findings in Section 4, motivates conducting exploratory factor analysis -a well-established method for testing the dimensionality of an instrument (Tate, 2003).The goal is to identify distinct skills or dimensions that may underlie the observed variables.We employed the software Factor (Ferrando and Lorenzo-Seva, 2017), selecting unweighted least squares as the estimation method and using promax rotation.To determine the optimal number of factors that represent the data, we used parallel analysis, which compares the eigenvalues derived from the actual data with those from random datasets generated under equivalent conditions.Factors with eigenvalues exceeding those of the random data are considered significant, suggesting they account for meaningful variance (Timmerman and <<Lorenzo-Seva, 2011)>>."
"Shrestha, 2021 – Factor analysis as a tool for survey analysis","Kaiser-Meyer-Olkin (KMO) is a measure of sampling adequacy of the data; values above 0.70 are considered suitable for factor analysis <<(Shrestha, 2021)>>.Note that in both benchmarks, the KMO value is within an acceptable range, the factors explain about 40% of the variance in the data, and they are positively correlated.For each benchmark, we calculate the proportion of word/math questions whose factor of highest loading is either factor F1 or factor F2 and also the average accuracy for the questions that are assigned to each (Table 3).Notably, in ENEM, there is a strong connection between factors and question types.While 85% of math questions align more closely with Factor F1, 80% of word questions are more strongly linked to Factor F2.Furthermore, the average accuracy on questions falling into F2 is roughly half of those linked to F1.Those numbers, in accordance to results in Section 4, suggest that language models possess distinct capabilities.We label F1 as the equation resolution skill, and F2 as the text interpretation skill.On GSM8K, all math-form questions load onto the first factor, whereas easier and harder word problems are split between the two factors.These results suggest that, in GSM8K, translating some word problems into their mathematical form is straightforward, while others require greater capacity to extract explicit and implicit quantities from the text.This kind of distinction can aid how practitioners inspect and debug their question-answering applications."
"Distefano, 2019 – Understanding and using factor scores: Considerations for the applied researcher","Factor scores.Do specific versions of a family of models possess different problem-solving skills?To answer that question, we resort to factor scores <<(DiStefano et al., 2019)>>, which are numerical values representing an observation's position on the latent factors identified through factor analysis.These scores are derived from observed variable scores and factor loadings, providing a way to es-timate the contribution of each factor to a specific case.In Table 5 we show factor scores for a selection of the model families doing the ENEM exam; the complete table can be consulted at Appendix C."
"(Burnell et al., 2023b)","Through structured problem reformulation and factor analysis of 35 large language models, we found that while pure mathematical problemsolving skills are relatively common, only a subset of small-scale language models can effectively handle word problems requiring both interpretation and mathematical modeling.Our work contributes to the growing body of research focused on developing benchmarks that test specific model capabilities by systematically varying key features <<(Burnell et al., 2023b)>>, and, as models become more multi-modal and diverse in their reasoning capabilities, factor analysis can play a larger role as part of language model evaluation frameworks."
"Fan, 2024 – Hardmath: A benchmark dataset for challenging problems in applied mathematics","Second, our analysis is limited to the GSM8K and Brazilian ENEM benchmarks, which contain grade-school and high-school level questions, respectively.To further explore the problem space, future work should consider advanced college-level mathematics, covering topics such as differential and integral calculus <<(Fan et al., 2024)>>."
"Meurer, 2017 – Sympy: symbolic computing in python","We leverage SymPy <<(Meurer et al., 2017)>> and two prompts to convert a word problem into its equivalent math form.First, we submit a prompt that generates the SymPy source code that solves the problem, as in the example:"
"Hosseini, 2024 – Not all llm reasoners are created equal","We used the same prompt style as <<(Hosseini et al., 2024)>>.Here as examples of 0-shot, 2-shot, 0shot-CoT and 2-shot-CoT prompts.Note that the chain-of-thought prompts explicitly ask the model to think step by step.Q: There are 15 trees in the grove.Grove workers will plant trees in the grove today.After they are done, there will be 21 trees.How many trees did the grove workers plant today?A: There are 15 trees originally.Then there were 21 trees after some more were planted.So there must have been 21 -15 = 6.The final answer is 6.Q: There are 15 trees in the grove.Grove workers will plant trees in the grove today.After they are done, there will be 21 trees.How many trees did the grove workers plant today?A: There are 15 trees originally.Then there were 21 trees after some more were planted.So there must have been 21 -15 = 6.The final answer is 6."
