"locale_id","city","state","temperature","feels_like"
3600,"Queiroz","SP","22.0","22.0"
3602,"Quintana","SP","22.0","22.0"
3616,"Ribeirão Grande","SP","19.0","19.0"
3569,"Ananás","TO","25.0","25.0"
3603,"Rafard","SP","22.0","22.0"
3577,"Arapoema","TO","26.0","28.0"
3617,"Ribeirão Pires","SP","18.0","18.0"
3599,"Quatá","SP","23.0","23.0"
3606,"Regente Feijó","SP","24.0","23.0"
3619,"Ribeira","SP","21.0","21.0"
3601,"Queluz","SP","21.0","21.0"
3623,"Rio Claro","SP","23.0","23.0"
3609,"Restinga","SP","23.0","23.0"
3624,"Rio Das Pedras","SP","21.0","21.0"
3618,"Ribeirão Preto","SP","25.0","25.0"
3625,"Rio Grande Da Serra","SP","18.0","18.0"
3610,"Riacho Grande","SP","18.0","18.0"
3615,"Ribeirão Do Sul","SP","23.0","23.0"
3630,"Roseira","SP","22.0","22.0"
3591,"Presidente Alves","SP","21.0","21.0"
3633,"Sabino","SP","22.0","22.0"
3637,"Sales","SP","22.0","22.0"
3631,"Rubiácea","SP","24.0","24.0"
3632,"Rubinéia","SP","25.0","25.0"
3640,"Salto De Pirapora","SP","21.0","21.0"
3639,"Saltinho","SP","21.0","21.0"
3621,"Rincão","SP","23.0","23.0"
3622,"Rinópolis","SP","23.0","23.0"
3626,"Riolândia","SP","26.0","27.0"
3628,"Riviera De São Lourenço","SP","23.0","23.0"
3620,"Rifaina","SP","24.0","24.0"
3642,"Salto","SP","22.0","22.0"
3641,"Salto Grande","SP","23.0","23.0"
3646,"Santa Bárbara D'Oeste","SP","21.0","21.0"
3644,"Santa Adélia","SP","21.0","21.0"
3627,"Riversul","SP","20.0","20.0"
3647,"Santa Branca","SP","19.0","19.0"
3629,"Rosana","SP","28.0","29.0"
3635,"Sales Oliveira","SP","26.0","26.0"
3651,"Santa Cruz Das Palmeiras","SP","23.0","23.0"
3638,"Salmourão","SP","24.0","24.0"
3648,"Santa Clara D'Oeste","SP","25.0","25.0"
3650,"Santa Cruz Da Esperança","SP","24.0","24.0"
3634,"Sagres","SP","24.0","24.0"
3654,"Santa Fé Do Sul","SP","25.0","25.0"
3636,"Salesópolis","SP","17.0","17.0"
3656,"Santa Isabel","SP","21.0","21.0"
3655,"Santa Gertrudes","SP","23.0","23.0"
3659,"Santa Mercedes","SP","28.0","25.0"
3652,"Santa Cruz Do Rio Pardo","SP","24.0","24.0"
3661,"Santana De Parnaíba","SP","19.0","19.0"
3643,"Sandovalina","SP","26.0","26.0"
3663,"Santa Rita Do Passa Quatro","SP","23.0","23.0"
3664,"Santa Rosa De Viterbo","SP","24.0","24.0"
3665,"Santa Salete","SP","26.0","27.0"
3668,"Santo Antônio Da Alegria","SP","23.0","23.0"
