"locale_id","city","state","temperature","feels_like","latitude","longitude"
3228,"Barão De Grajaú","MA","25.0","25.0","-6.8","-43.0"
3222,"Nioaque","MS","27.0","28.0","-21.1","-55.8"
3226,"Bataiporã","MS","27.0","28.0","-22.3","-53.3"
3227,"Campos De Júlio","MT","24.0","24.0","-13.9","-59.1"
3230,"Coaraci","BA","24.0","24.0","-14.6","-39.6"
3232,"Itagibá","BA","23.0","23.0","-14.3","-39.8"
3235,"Caracol","MS","27.0","28.0","-22.0","-57.0"
3231,"Firmino Alves","BA","23.0","23.0","-15.0","-39.9"
3233,"São João Batista Do Glória","MG","23.0","23.0","-20.6","-46.5"
3236,"Angüera","BA","26.0","28.0","-12.1","-39.2"
3234,"São Pedro Dos Ferros","MG","24.0","24.0","-20.2","-42.5"
3241,"Jardim Olinda","PR","27.0","28.0","-22.6","-52.0"
3240,"Inajá","PR","26.0","26.0","-22.7","-52.2"
3237,"Palestina De Goiás","GO","25.0","25.0","-16.7","-51.5"
3239,"Conceição Do Rio Verde","MG","21.0","21.0","-21.9","-45.1"
3238,"Itaguajé","PR","26.0","27.0","-22.6","-52.0"
3242,"Mandiocaba","PR","26.0","26.0","-23.1","-52.5"
3243,"Nova Resende","MG","21.0","21.0","-21.1","-46.4"
3245,"Itabela","BA","25.0","25.0","-16.6","-39.6"
3246,"Santa Inês","BA","24.0","24.0","-13.3","-39.8"
3244,"Douradina","PR","26.0","27.0","-23.4","-53.3"
3247,"Goianápolis","GO","26.0","26.0","-16.5","-49.0"
3248,"Juína","MT","25.0","25.0","-11.4","-58.7"
3249,"Colorado","PR","25.0","25.0","-22.8","-52.0"
3251,"Carira","SE","27.0","28.0","-10.4","-37.7"
3253,"Alterosa","MG","21.0","21.0","-21.2","-46.1"
3252,"Três Ranchos","GO","24.0","24.0","-18.4","-47.8"
3254,"Liberdade","MG","20.0","20.0","-22.0","-44.3"
3255,"Vila Boa","GO","25.0","25.0","-15.0","-47.1"
3256,"Mato Rico","PR","23.0","23.0","-24.7","-52.1"
3261,"Albertina","MG","22.0","22.0","-22.2","-46.6"
3262,"Alfredo Vasconcelos","MG","20.0","20.0","-21.1","-43.8"
3260,"Aguanil","MG","22.0","22.0","-20.9","-45.4"
3259,"Acaiaca","MG","21.0","21.0","-20.4","-43.1"
3250,"Cruzeiro Do Sul","PR","26.0","26.0","-23.0","-52.2"
3263,"Alpercata","MG","26.0","27.0","-19.0","-42.0"
3265,"Alto Jequitibá","MG","22.0","22.0","-20.4","-42.0"
3264,"Alto Caparaó","MG","19.0","19.0","-20.4","-41.9"
3257,"Montanha","ES","26.0","26.0","-18.1","-40.4"
3267,"Alvarenga","MG","22.0","22.0","-19.4","-41.7"
3258,"Abre Campo","MG","21.0","21.0","-20.3","-42.5"
3266,"Alto Rio Doce","MG","22.0","22.0","-21.0","-43.4"
3268,"Alvinópolis","MG","21.0","21.0","-20.1","-43.0"
3269,"Alvorada De Minas","MG","21.0","21.0","-18.7","-43.4"
3272,"Antônio Dias","MG","23.0","23.0","-19.7","-42.9"
3270,"Amparo Do Serra","MG","21.0","21.0","-20.5","-42.8"
3275,"Barra Longa","MG","22.0","22.0","-20.3","-43.0"
3274,"Bandeira","MG","22.0","22.0","-15.9","-40.6"
3271,"Angelândia","MG","21.0","21.0","-17.6","-42.2"
3273,"Araçaí","MG","24.0","24.0","-19.2","-44.2"
3282,"Berilo","MG","24.0","24.0","-17.0","-42.5"
3281,"Belo Vale","MG","21.0","21.0","-20.4","-44.0"
3279,"Bela Vista De Minas","MG","21.0","21.0","-19.8","-43.1"
3278,"Barão De Monte Alto","MG","22.0","22.0","-21.2","-42.2"
3277,"Barão De Cocais","MG","21.0","21.0","-19.9","-43.5"
3276,"Barroso","MG","21.0","21.0","-21.2","-44.0"
3280,"Belmiro Braga","MG","23.0","23.0","-21.9","-43.4"
3285,"Bias Fortes","MG","22.0","22.0","-21.6","-43.8"
3287,"Biquinhas","MG","23.0","23.0","-18.8","-45.5"
3286,"Bicas","MG","24.0","24.0","-21.7","-43.1"
3284,"Bertópolis","MG","25.0","25.0","-17.1","-40.6"
3283,"Berizal","MG","21.0","21.0","-15.6","-41.7"
3288,"Bocaina De Minas","MG","19.0","19.0","-22.2","-44.4"
3289,"Bom Jardim De Minas","MG","20.0","20.0","-21.9","-44.2"
3290,"Bom Jesus Da Penha","MG","23.0","23.0","-21.0","-46.5"
3293,"Crisólia","MG","22.0","22.0","-22.2","-46.4"
3291,"Bom Jesus Do Galho","MG","22.0","22.0","-19.8","-42.3"
3292,"Bom Sucesso","MG","20.0","20.0","-21.0","-44.8"
3297,"Olímpio Noronha","MG","20.0","20.0","-22.1","-45.3"
3294,"Sapezal","MT","25.0","25.0","-13.0","-58.8"
3300,"Orizânia","MG","19.0","18.0","-20.5","-42.2"
3299,"Oratórios","MG","22.0","22.0","-20.4","-42.8"
3295,"Lagoa Dos Patos","MG","24.0","24.0","-17.0","-44.6"
3296,"Oliveira Fortes","MG","23.0","23.0","-21.3","-43.5"
3298,"Onça De Pitangui","MG","24.0","24.0","-19.7","-44.8"
3302,"Ouro Verde De Minas","MG","25.0","25.0","-18.1","-41.3"
3301,"Ouro Branco","MG","19.0","19.0","-20.5","-43.7"
3305,"Pai Pedro","MG","26.0","26.0","-15.5","-43.1"
3304,"Padre Paraíso","MG","22.0","22.0","-17.1","-41.5"
3306,"Paineiras","MG","23.0","23.0","-18.9","-45.5"
3303,"Padre Carvalho","MG","21.0","21.0","-16.4","-42.5"
3307,"Pains","MG","22.0","22.0","-20.4","-45.7"
3311,"Paraopeba","MG","23.0","23.0","-19.3","-44.4"
3309,"Palma","MG","24.0","24.0","-21.4","-42.3"
3308,"Paiva","MG","23.0","23.0","-21.3","-43.4"
